case_id,receiver,seed,theta_radians,dx_m,dy_m
bin10_subset0,6,6700,2.4536306346723125,-3862.708316007621,3174.820383178483
bin10_subset0,7,6700,3.450788535513345,-4762.892825654959,-1521.4637463063414
bin10_subset0,12,6700,3.0025210168086827,-4951.725580881117,693.1188726672791
bin10_subset0,18,6700,4.4324791491150535,-1381.3449514605434,-4805.401765209072
bin10_subset0,35,6700,4.1710293274105785,-2576.5085111153203,-4285.044211224701
bin10_subset0,37,6700,6.06229162528091,4878.510158919907,-1095.5083885188944
bin10_subset1,4,6701,4.641857268259562,-352.3662369388247,-4987.568348911679
bin10_subset1,9,6701,1.5060359338041505,323.5756797743703,4989.5188925845905
bin10_subset1,15,6701,6.201094512943954,4983.162212619644,-409.9931252102855
bin10_subset1,35,6701,1.1369691635517485,2101.732506282587,4536.818320368925
bin10_subset1,41,6701,6.031140377041543,4842.022361909227,-1246.9239939831907
bin10_subset2,6,6702,0.9926755655574269,2732.2552849923613,4187.455200671561
bin10_subset2,27,6702,3.1457381043401385,-4999.9570381567155,-20.727194386290236
bin10_subset3,7,6703,0.18361621591698074,4915.949258712532,912.9309315406624
bin10_subset3,15,6703,3.473640548010743,-4726.883771464449,-1629.8987119039114
bin10_subset3,18,6703,4.872884715825448,799.0379528506991,-4935.740911950724
bin10_subset3,50,6703,2.2438655699355903,-3116.943988052909,3909.5600999781077
bin10_subset3,70,6703,2.3072202521605907,-3358.2139353944062,3704.3756780492463
bin10_subset4,19,6704,5.052593126888554,1668.3977262963836,-4713.432828299249
bin10_subset4,25,6704,4.41249177138195,-1477.1100255492252,-4776.8343044763415
bin10_subset4,32,6704,5.977550556623628,4768.2807458210345,-1504.4928477837325
bin10_subset5,7,6705,2.6294728289856075,-4358.538486877162,2450.1310696390387
bin10_subset5,35,6705,0.6529076869891564,3971.603715453208,3037.493033308599
bin10_subset5,50,6705,1.1435245167965071,2071.947114236695,4550.4983414793405
bin10_subset5,69,6705,1.8512673599818297,-1384.0415344773735,4804.625795089719
bin10_subset6,17,6706,4.9770371693721795,1307.8486088912146,-4825.922918595086
bin10_subset6,32,6706,4.22420421644572,-2345.117356263719,-4415.928507726395
bin10_subset6,41,6706,0.715581453606817,3773.559512386562,3280.281787663507
bin10_subset6,71,6706,0.8808462000521977,3182.493584396964,3856.3888011029394
bin10_subset7,10,6707,3.7483775213825288,-4107.428114579084,-2851.14613507714
bin10_subset7,18,6707,5.675666610504859,4105.33475545128,-2854.159516509857
bin10_subset7,23,6707,2.869462944477055,-4816.003253778901,1343.9169094817723
bin20_subset0,1,6700,2.4536306346723125,-3862.708316007621,3174.820383178483
bin20_subset0,7,6700,3.450788535513345,-4762.892825654959,-1521.4637463063414
bin20_subset0,10,6700,3.0025210168086827,-4951.725580881117,693.1188726672791
bin20_subset0,15,6700,4.4324791491150535,-1381.3449514605434,-4805.401765209072
bin20_subset0,18,6700,4.1710293274105785,-2576.5085111153203,-4285.044211224701
bin20_subset0,33,6700,6.06229162528091,4878.510158919907,-1095.5083885188944
bin20_subset0,35,6700,5.157299151766627,2151.8839914778764,-4513.246645954689
bin20_subset0,41,6700,4.456683990767184,-1264.6376923514126,-4837.426124199117
bin20_subset1,4,6701,4.641857268259562,-352.3662369388247,-4987.568348911679
bin20_subset1,6,6701,1.5060359338041505,323.5756797743703,4989.5188925845905
bin20_subset1,12,6701,6.201094512943954,4983.162212619644,-409.9931252102855
bin20_subset1,69,6701,1.1369691635517485,2101.732506282587,4536.818320368925
bin20_subset1,71,6701,6.031140377041543,4842.022361909227,-1246.9239939831907
bin20_subset2,1,6702,0.9926755655574269,2732.2552849923613,4187.455200671561
bin20_subset2,5,6702,3.1457381043401385,-4999.9570381567155,-20.727194386290236
bin20_subset2,7,6702,0.21627771487413164,4883.514998073249,1072.9777554048494
bin20_subset2,17,6702,2.1676031679784478,-2810.0208577957137,4135.671986358812
bin20_subset2,20,6702,1.015049348880556,2637.890049958401,4247.532940935298
bin20_subset2,41,6702,6.10921337240955,4924.525065041515,-865.4784132362101
bin20_subset2,50,6702,3.571863376650989,-4544.2642991350685,-2085.5843257002257
bin20_subset3,6,6703,0.18361621591698074,4915.949258712532,912.9309315406624
bin20_subset3,12,6703,3.473640548010743,-4726.883771464449,-1629.8987119039114
bin20_subset3,15,6703,4.872884715825448,799.0379528506991,-4935.740911950724
bin20_subset3,18,6703,2.2438655699355903,-3116.943988052909,3909.5600999781077
bin20_subset3,69,6703,2.3072202521605907,-3358.2139353944062,3704.3756780492463
bin20_subset3,71,6703,4.421253702703136,-1435.1995674049444,-4789.593114422211
bin20_subset4,4,6704,5.052593126888554,1668.3977262963836,-4713.432828299249
bin20_subset4,6,6704,4.41249177138195,-1477.1100255492252,-4776.8343044763415
bin20_subset4,19,6704,5.977550556623628,4768.2807458210345,-1504.4928477837325
bin20_subset4,23,6704,5.272831516997127,2657.8054365097464,-4235.099793589195
bin20_subset4,41,6704,3.443236198181711,-4774.247492055467,-1485.4497246968954
